n_iter: 500	12	12	0
n_iter: 500	12	20	0
n_iter: 500	12	33	0
n_iter: 500	12	55	0
n_iter: 500	12	90	0
n_iter: 500	12	148	0
n_iter: 500	12	245	0
n_iter: 500	12	403	0
n_iter: 500	12	665	0
n_iter: 500	12	1097	0
n_iter: 500	12	1808	0
n_iter: 500	12	2981	0
n_iter: 500	12	4915	0
n_iter: 500	12	8103	0
n_iter: 500	12	13360	0
n_iter: 500	12	22026	0
n_iter: 500	12	36316	0
n_iter: 500	12	59874	0
n_iter: 422	12	98716	0
n_iter: 256	12	162755	0
n_iter: 155	12	268337	0
n_iter: 94	12	442413	1
n_iter: 57	12	729416	1
n_iter: 34	12	1202604	1
n_iter: 500	20	12	0
n_iter: 500	20	20	0
n_iter: 500	20	33	0
n_iter: 500	20	55	0
n_iter: 500	20	90	0
n_iter: 500	20	148	0
n_iter: 500	20	245	0
n_iter: 500	20	403	0
n_iter: 500	20	665	0
n_iter: 500	20	1097	0
n_iter: 500	20	1808	0
n_iter: 500	20	2981	0
n_iter: 500	20	4915	0
n_iter: 500	20	8103	0
n_iter: 500	20	13360	0
n_iter: 500	20	22026	0
n_iter: 500	20	36316	0
n_iter: 417	20	59874	0
n_iter: 253	20	98716	0
n_iter: 153	20	162755	0
n_iter: 93	20	268337	1
n_iter: 56	20	442413	1
n_iter: 34	20	729416	1
n_iter: 25	20	1202604	1
n_iter: 500	33	12	0
n_iter: 500	33	20	0
n_iter: 500	33	33	0
n_iter: 500	33	55	0
n_iter: 500	33	90	0
n_iter: 500	33	148	0
n_iter: 500	33	245	0
n_iter: 500	33	403	0
n_iter: 500	33	665	0
n_iter: 500	33	1097	0
n_iter: 500	33	1808	0
n_iter: 500	33	2981	0
n_iter: 500	33	4915	0
n_iter: 500	33	8103	0
n_iter: 500	33	13360	0
n_iter: 500	33	22026	0
n_iter: 417	33	36316	0
n_iter: 253	33	59874	1
n_iter: 153	33	98716	1
n_iter: 93	33	162755	1
n_iter: 56	33	268337	1
n_iter: 34	33	442413	1
n_iter: 25	33	729416	1
n_iter: 25	33	1202604	1
n_iter: 500	55	12	0
n_iter: 500	55	20	0
n_iter: 500	55	33	0
n_iter: 500	55	55	0
n_iter: 500	55	90	0
